Rapport de diffusion — 2026-07-21 (heures UTC)
296 titres joués | tolérance ±10s
====================================================================================================
HEURE    PLAYLIST                     FICHIER          RÉEL    ÉCART  STATUT  TITRE
----------------------------------------------------------------------------------------------------
17:08:51 BLOC_C_SERIE_DU_JOUR              6m06s      6m12s      +6s  ✅  cantique  ta bonte
17:15:03 BLOC_C_SERIE_DU_JOUR              4m22s      4m19s      -3s  ✅  2 Chroniques 23
17:19:22 BLOC_C_SERIE_DU_JOUR              5m08s      5m05s      -3s  ✅  2 Chroniques 24
17:24:27 BLOC_C_SERIE_DU_JOUR              5m13s      5m11s      -2s  ✅  2 Chroniques 25
17:29:38 BLOC_C_SERIE_DU_JOUR              4m04s      4m02s      -2s  ✅  2 Chroniques 26
17:33:40 BLOC_C_SERIE_DU_JOUR              1m21s      1m18s      -3s  ✅  2 Chroniques 27
17:34:58 BLOC_C_SERIE_DU_JOUR              4m55s      4m53s      -2s  ✅  2 Chroniques 28
17:39:51 BLOC_C_SERIE_DU_JOUR              6m27s      6m25s      -2s  ✅  2 Chroniques 29
17:46:16 BLOC_C_SERIE_DU_JOUR              5m02s      4m59s      -3s  ✅  2 Chroniques 30
17:51:15 BLOC_C_SERIE_DU_JOUR              4m11s      4m09s      -2s  ✅  2 Chroniques 31
17:55:24 BLOC_C_SERIE_DU_JOUR              6m19s      6m17s      -2s  ✅  2 Chroniques 32
18:01:41 BLOC_D_SERIE_DU_JOUR              6m09s      6m07s      -2s  ✅  Actes 19
18:07:48 BLOC_D_SERIE_DU_JOUR              5m22s      5m21s      -1s  ✅  Actes 20
18:13:09 BLOC_D_SERIE_DU_JOUR              6m34s      6m31s      -3s  ✅  Actes 21
